# Rime user dictionary
#@/db_name	cangjie5
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1278
#@/user_id	d06b849a-f2b9-43d0-a3a2-e519e294079d
hbu 	自	c=2 d=0.776765 t=1278
hbut 	算	c=3 d=0.0548027 t=1278
hda 	香	c=8 d=1.30789 t=1278
hdb 	策	c=1 d=0.0194482 t=1278
hdbm 	租	c=1 d=0.00856561 t=1278
hdf 	秋	c=1 d=0.00386807 t=1278
hdhjg 	種	c=1 d=0.22313 t=1278
hdi 	私	c=1 d=0.031117 t=1278
hdln 	利	c=1 d=0.15259 t=1278
hdqmc 	積	c=1 d=0.053397 t=1278
hdr 	和	c=1 d=0.0229371 t=1278
hdrhg 	程	c=4 d=0.393795 t=1278
hdyj 	科	c=1 d=0.634448 t=1278
hebt 	盤	c=5 d=0.20987 t=1278
heokb 	重複使用	c=1 d=0.0266491 t=1278
hgks 	動	c=1 d=0.124307 t=1278
hgrly 	靠	c=1 d=0.250324 t=1278
hhk 	笑	c=1 d=0.12307 t=1278
hhoe 	黎	c=1 d=0.752014 t=1278
hib 	鬼月	c=1 d=0.0319048 t=1278
hjrr 	管	c=1 d=0.421052 t=1278
hlno 	欣	c=1 d=0.0144798 t=1278
hlq 	筆	c=1 d=0.011109 t=1278
hnd 	梨	c=2 d=0.0115225 t=1278
hnhli 	風	c=2 d=0.998903 t=1278
hnlh 	第	c=1 d=0.0558548 t=1278
hnmaf 	鳳	c=2 d=0.0114377 t=1278
hnyhv 	製	c=3 d=0.571234 t=1278
hoami 	得	c=1 d=0.798516 t=1278
hoav 	很	c=1 d=0.00532682 t=1278
hodi 	符	c=1 d=0.398519 t=1278
hoggn 	街	c=2 d=0.533141 t=1278
hogyo 	徒	c=1 d=0.00554422 t=1278
hohne 	役	c=2 d=0.021942 t=1278
hoidn 	術	c=1 d=0.00814786 t=1278
hojwp 	德	c=1 d=0.0270518 t=1278
holq 	律	c=1 d=0.0168231 t=1278
hommn 	行	c=7 d=0.943934 t=1278
homo 	簽	c=1 d=0.0420036 t=1278
hovie 	後	c=3 d=0.660177 t=1278
hpsl 	印	c=2 d=0.0148139 t=1278
hq 	牛	c=2 d=0.0081393 t=1278
hqgdi 	特	c=1 d=0.0997588 t=1278
hqi 	我	c=9 d=1.65638 t=1278
hqm 	生	c=6 d=1.79513 t=1278
hqmqj 	拜	c=1 d=0.290835 t=1278
hqu 	毛	c=1 d=0.0110536 t=1278
hrmlb 	師	c=2 d=0.608462 t=1278
hrok 	啟	c=1 d=0.0269169 t=1278
hs 	戶	c=2 d=0.0142395 t=1278
hshml 	所	c=2 d=0.00983167 t=1278
hsyhs 	房	c=1 d=0.621885 t=1278
ht 	升	c=1 d=0.778801 t=1278
hui 	鬼	c=1 d=0.453845 t=1278
hup 	息	c=1 d=0.00719046 t=1278
hwsmm 	翻	c=2 d=0.0243783 t=1278
hxh 	身	c=1 d=0.353455 t=1278
hxhu 	兒	c=2 d=1.50051 t=1278
hxyc 	與	c=1 d=0.159614 t=1278
hyhnr 	船	c=1 d=0.00431784 t=1278
hyyhn 	航	c=2 d=0.412549 t=1278
iav 	良	c=1 d=0.140858 t=1278
ibpp 	能	c=1 d=0.00169512 t=1278
id 	床	c=8 d=1.61821 t=1278
idd 	麻	c=4 d=0.0322851 t=1278
idvi 	麼	c=1 d=0.603506 t=1278
ifmrw 	福	c=1 d=0.0211736 t=1278
iftq 	祥	c=1 d=0.0232837 t=1278
igti 	廚	c=3 d=1.67041 t=1278
ihs 	成	c=2 d=0.0536602 t=1278
iiih 	參	c=1 d=0.00506703 t=1278
ije 	求	c=1 d=0.392586 t=1278
ijjb 	廟	c=1 d=0.390628 t=1278
iknf 	為	c=1 d=0.00582847 t=1278
ile 	康	c=1 d=0.0225956 t=1278
imdw 	凍	c=1 d=0.337902 t=1278
imno 	次	c=3 d=0.186126 t=1278
imue 	廈	c=7 d=0.156636 t=1278
ine 	永	c=3 d=0.0778477 t=1278
inin 	序	c=1 d=0.0142642 t=1278
ioog 	座	c=1 d=0.0564161 t=1278
ipm 	式	c=1 d=0.179964 t=1278
ir 	台	c=5 d=0.232609 t=1278
isgp 	廳	c=1 d=0.08291 t=1278
ite 	度	c=1 d=0.118245 t=1278
itmc 	廣	c=1 d=0.00927901 t=1278
iyr 	店	c=1 d=0.154124 t=1278
j 	十	c=1 d=0.00282287 t=1278
jaf 	煮	c=3 d=1.09605 t=1278
janl 	都	c=5 d=0.0312167 t=1278
jbm 	宜	c=1 d=0.301194 t=1278
jbtj 	南	c=2 d=0.0600943 t=1278
jc 	穴	c=1 d=0.060205 t=1278
jcmig 	窒	c=2 d=1.64216 t=1278
jcor 	容	c=1 d=0.218712 t=1278
jdok 	教	c=1 d=0.00755912 t=1278
je 	支	c=3 d=0.471817 t=1278
jemwl 	麵	c=2 d=0.0106697 t=1278
jher 	客	c=1 d=0.0824965 t=1278
jhp 	宅	c=1 d=0.0325493 t=1278
jjkn 	軌	c=1 d=0.00373503 t=1278
jjno 	軟	c=2 d=0.498213 t=1278
jkp 	老	c=4 d=1.38649 t=1278
jkys 	考	c=1 d=0.00509243 t=1278
jlln 	事	c=1 d=0.063609 t=1278
jm 	士	c=1 d=0.0992613 t=1278
jmd 	宇	c=2 d=0.5416 t=1278
jmig 	室	c=1 d=0.0776922 t=1278
jmmu 	完	c=1 d=0.00670434 t=1278
jmrw 	富	c=3 d=0.0445589 t=1278
jmso 	家	c=3 d=1.15926 t=1278
jmuc 	寶	c=4 d=0.52959 t=1278
jmyo 	定	c=2 d=0.104743 t=1278
jnd 	字	c=1 d=0.00172937 t=1278
jpbn 	寧	c=3 d=0.0917367 t=1278
jphi 	蜜	c=2 d=0.00789875 t=1278
jrb 	胡	c=1 d=0.128093 t=1278
jrlr 	官	c=1 d=0.0081887 t=1278
jrmbc 	額	c=1 d=0.0403566 t=1278
jrok 	故	c=1 d=0.366045 t=1278
jv 	安	c=9 d=0.694394 t=1278
jwj 	車	c=1 d=0.0193512 t=1278
jwjc 	實	c=1 d=0.307279 t=1278
k 	大	c=13 d=1.35776 t=1278
kb 	冇	c=5 d=0.0133835 t=1278
kb 	有	c=8 d=0.138785 t=1278
ke 	友	c=5 d=0.17192 t=1278
kf 	灰	c=1 d=0.00213348 t=1278
ki 	太	c=2 d=0.410428 t=1278
kiog 	雄	c=1 d=0.00296761 t=1278
kklb 	希	c=1 d=0.00276698 t=1278
klg 	在	c=2 d=0.350027 t=1278
kna 	旭	c=2 d=0.0361854 t=1278
knthu 	馗	c=1 d=0.88692 t=1278
koo 	夾	c=1 d=0.0925506 t=1278
krd 	架	c=4 d=0.294068 t=1278
ksr 	加	c=2 d=0.00481951 t=1278
l 	中	c=3 d=0.405653 t=1278
lbhni 	帆	c=2 d=0.00876795 t=1278
lga 	書	c=3 d=0.216087 t=1278
libbr 	蝸	c=1 d=0.0578443 t=1278
lihej 	蜂	c=2 d=0.00795741 t=1278
lmvi 	褥	c=1 d=0.402524 t=1278
lnbuc 	費	c=3 d=0.535457 t=1278
lvok 	數	c=1 d=0.0380064 t=1278
lwl 	申	c=1 d=0.00708341 t=1278
m 	一	c=7 d=0.476843 t=1278
ma 	百	c=1 d=0.344728 t=1278
mbwu 	電	c=1 d=0.00198925 t=1278
mcw 	西	c=1 d=0.0300468 t=1278
mdm 	五	c=1 d=0.0561348 t=1278
mf 	不	c=3 d=1.78796 t=1278
mfj 	平	c=1 d=0.394554 t=1278
mg 	王	c=1 d=0.946485 t=1278
mgbuu 	現	c=1 d=0.224249 t=1278
mghjd 	珠	c=1 d=0.0125254 t=1278
mgi 	玉	c=1 d=0.136014 t=1278
mgije 	球	c=2 d=0.0126433 t=1278
mgilg 	班	c=1 d=0.100761 t=1278
mgln 	到	c=1 d=0.214381 t=1278
mgmmu 	玩	c=1 d=0.00182715 t=1278
mgt 	弄	c=1 d=0.00449405 t=1278
mgwg 	理	c=3 d=0.59665 t=1278
mihui 	魂	c=1 d=0.00400585 t=1278
mk 	天	c=2 d=0.0251593 t=1278
mks 	功	c=1 d=0.701173 t=1278
mlbo 	兩	c=1 d=0.0422141 t=1278
mlby 	雨	c=1 d=0.377192 t=1278
mllm 	亞	c=3 d=0.0340622 t=1278
mlm 	工	c=3 d=0.400312 t=1278
mm 	二	c=6 d=1.17831 t=1278
mmbbp 	麗	c=1 d=0.0328764 t=1278
mmf 	示	c=1 d=0.00208081 t=1278
mmm 	三	c=2 d=0.344 t=1278
mmvs 	巧	c=5 d=0.0427025 t=1278
